Startup,URL,Description,Country,Focus Area,Innovation Area,Founded,Maturity,Total Funding,Funding Stage,Theme
Ambri Metal,https://ambri.com/,"Ambri (formerly Liquid Metal Battery Corporation (LMBC)) develops and commercializes a new technology of liquid metal battery that costs significantly less than existing batteries. By decoupling power supply and power demand, the liquid metal battery will enable a widespread use of sustainable energy sources and the development of more efficient power systems.",USA,Grid-scale Storage,Whole System Resources,2010,Mature,"67,300,000",Series C,Stability
AMBX,https://www.ambx.com/,"amBX is a software company that caters to lighting and digital entertainment markets to provide optimum experience and performance from LED lighting. amBX Smart Core is a lighting control software for real-time management and energy saving. Used in hospitality, general commercial lighting, retail, architectural, advertising and the residential sectors.",England,Green Building,Buildings & Heat,2008,Nascent,"1,130,000",Seed,Accessibility
Ampere Energy,https://ampere-energy.com/vpp,Ampere Energy has developed lithium-based bi-directional energy storage systems. The storage system consists of the artificial intelligence-based energy management system which monitors consumption habits & electricity prices to optimize the operation of batteries. Allows a user to store energy when prices are less and a software application for online monitoring & technical assistance. The ESS has 3-12 kWh output power with 6k charging cycles. Has developed a blockchain and big data analytics software which performs energy storage analysis and predicts photovoltaic power generation. Also offers customized engineering services for energy storage projects.,Spain,Grid-scale Storage,Whole System Resources,2015,Nascent,"1,000,000",Seed,Stability
Amplypower,https://www.amplypower.com/,"AMPLY provides usage-based charging services for electric vehicle fleets. Provides overall charging equipment, operations & maintenance services delivering a per-electric-mile-driven charging service to the fleet customers. It has developed a modular and fully-automated charging solution that can sale with the organization's need. The company aims to mitigate the complexity & risk associated with charging such as scheduling, coordination, demand charges, time-of-use, utility interconnection, DR programs, and upfront CAPEX (Capital Expenditure).",USA,Infr. for e-transport,Transport,2018,Nascent,"16,078,157",Series A,Mobility
Amprius,https://www.amprius.com/,"Amprius is a startup out of Stanford University that has developed highly efficient anode out of silicon nanowires for lithium-ion batteries. Its manufacturing tool uses a multi-step, Chemical Vapor Deposition (CVD) process to produce silicon nanowire anodes. It claims that due to silicon, its batteries achieve significantly higher energies per unit volume (800 1,000 Wh/L, depending on cell capacity and form-factor) and energies per unit weight (325 - 400 Wh/kg) than todays commercially available batteries.",USA,Battery technology,Circular Economy,2009,Mature,"55,000,000",Series C,Mobility
Andluca,https://andluca.com/,"Andluca Technologies develops transparent and thin-film power sources that convert ultraviolet light into useful energy at the point of use. These thin-film power sources disappear into their environment to enable discreet, wireless operation of smart windows and IoT devices.",USA,Green Building,Buildings & Heat,2017,Nascent,"1,000,000",Seed,Stability
Antora,https://www.cyclotronroad.org/antora,"Antora Energy is building a low-cost thermal battery for grid-scale energy storage. By combining inexpensive thermal storage media at high temperatures with high-efficiency thermophotovoltaic energy conversion, we will support the widespread integration of renewable resources on the electricity grid.",USA,Grid-scale Storage,Whole System Resources,2014,Nascent,"3,000,000",Seed,Stability
Apex Caes,http://www.apexcaes.com/,"Apex develops and builds its own Compressed Air Energy Storage systems. CAES is a proven power storage and generation technology with unique capabilities to satisfy emerging grid and power market needs. Apex has developed CAES systems with assistance from its primary investor Haddington Ventures. Currently, Apex is pursuing CAES projects within Texas; however, it plans to target opportunities in other markets where the addition of intermittent wind and solar resources increase the value of grid regulation and time shifting of energy.",USA,Grid-scale Storage,Whole System Resources,2010,Nascent,"1,000,000",Seed,Stability
Aquicore,https://aquicore.com/,"Aquicore's has developed analytics platform that connects to energy meters that have already been installed. Acquicore's platform centralizes energy data enabling building owners to monitor energy usage and bill their tenants according to their energy usage. Platform enables organizations to make decisions that improve staff productivity, reduce energy waste, increase tenant satisfaction and meet strategic energy goals. The company has worked with large-scale property owners like MRP Realty, Douglas Development and The Towers Companies.",USA,Green Building,Buildings & Heat,2012,Nascent,"48,822,241",Series B,Accessibility
Ares,https://aresnorthamerica.com/,"ARES the alternative to pumped-storage hydroelectricity for grid-scale energy storage, developing a highly efficient, cost-effective, deployable, grid-scale electricity storage technology.ARES energy storage technology employs a fleet of electric traction drive shuttle-trains, operating on a closed low-friction automated steel rail network to transport a field of heavy masses between two storage yards at different elevations. During periods where excess energy is available on the grid, ARES shuttle-trains draw electricity from the grid, which powers their individual axle-drive motors, as they transport a continuous flow of masses uphill against the force of gravity to an upper storage yard.  When the grid requires energy to meet periods of high demand, this process is reversed.  The shuttle-trains provide a continuous flow of masses returning to the lower storage yard with their motors operating as generators, converting the potential energy of the masses elevation back into electricity in a highly efficient process.",USA,Grid-scale Storage,Whole System Resources,2010,Mature,,Unfunded,Stability
Aries Clean Energy,https://ariescleanenergy.com/,"Aries Clean Energy (fka PHG Energy) develops and installs patented, commercialized industrial-grade gasification systems that can handle waste to turn it into electric power or fuel. The synthetic fuel gas produced through the clean thermo-chemical process of gasification can be utilized like natural gas for downstream thermal or electrical applications (PHG SF8, PHG SF12, PHG LF64, Downdraft Gasifiers), or to provide energy for the destruction of biosolids or biological wastes (PHG FB2000 the Fluidized Bed Gasifier). Aries Clean Energy has patented a new approach to remove the tar residue found in traditional biomass fuel by filtering syngas through high-carbon biochar, which is produced as a byproduct of gasification.",USA,Circular Cities,Circular Economy,2010,Emerging,"21,379,598",Series B,Accessibility
Arnergy,http://www.arnergy.com/,ARNERGY is a provider of pay-as-you-go solar power solutions to commercial and residential clients. Offers three solar home systems packages and mini-grid solar solutions to provide electricity to rural Nigeria and South Africa.,Nigeria,Emerging Business Models,Enabling Consumers,2013,Nascent,"9,000,000",Series A,Accessibility
Arrival,https://arrival.com/,"Arrival is a manufacturer of multi-category commercial vehicles. The company develops electric buses, vans by in-house software, materials, components, etc. It offers features like optimally manages the manufacturing process, uses recyclables products to minimize wastage, plug & play hardware that is enabled by software, etc.",England,Circular Cities,Transport,2015,Emerging,"229,411,000",Series D,Mobility
Atec Bio,https://atecbio.com/,ATEC Biodigesters offers a digester that turns manure into biogas for a form of renewable energy for cooking.,Cambodia,Circular Cities,Carbon Management,2016,Nascent,"2,300,000",Series B,Accessibility
Atlas Dynamics,https://www.atlasdynamics.eu/applications/industry,"Atlas Dynamics is a technology firm that designs and builds unmanned aerial vehicles for commercial purposes. Its flagship product is a tricopter (with dual coaxial rotors on each of the three arms) called the Atlas Pro that uses an operating system with in-built autonomy capabilities, enabling it to fly beyond visual line of sight (BVLOS) without an operator. Additionally, it offers a hub for fully autonomous takeoff, landing, and battery charging and swapping for the UAV, enabling the same to relaunch in less than 3 minutes. The AtlasNEST provides wide deployment capabilities that are designed for Beyond Visual Line Of Sight (BVLOS) purposes. Its chief application areas are in inspections of assets, SAR, security and surveillance and package delivery.",Latvia,Predictive Maintainance,Smart Operations,2015,Nascent,"8,000,000",Series A,Stability
Auterion,https://auterion.com/solutions/inspection/,"Auterion develops open source based operating system for commercial drones. The operating system is available as a subscription service encompassing three main components namely the software that runs on the drone, a cloud-based analytics suite for device and fleet management, and the enterprise customer success program. The software component that runs on the drone allows the manufacturers and software developers to add their own applications on the vehicle as Docker containers for enhancing and expanding the capabilities of the latter. The cloud-based insight platform provides information about flights, fleets, and individual drones such as the number of flights completed, the average flight time, early missions aborted, drones displaying unusual behavior, to name a few.",Switzerland,Predictive Maintainance,Smart Operations,2008,Nascent,"10,000,000",Seed,Stability
Autogrid,https://www.auto-grid.com/,"Autogrid specializes in providing AI & IoT enabled distributed energy resource management solutions. Its offerings include AutoGrid Flex, AutoGrid Engage, and AutoGrid Energy Internet Platform. It offers solutions such as storage co-optimization, virtual power plant, DER ancillary services, residential behavioral & pricing programs, and others.",USA,Renewable Generation,Optimising Network Resources,2011,Mature,"75,000,000",Series D,Sustainability
Avob,https://www.avob.com/,"AVOB has developed a software platform for building energy management. Collects data from the electrical equipment and performs real-time analysis to monitor energy consumption, reporting, comparisons with the historical data, centralized controlling of equipment & abnormal alerts. Can also be used for invoice integration, detailed monitoring of multi-site equipment, data dashboards, and multi-parameter monitoring.",France,Green Building,Buildings & Heat,2009,Emerging,"3,230,200",Series A,Accessibility
Axonize,https://www.axonize.com/,"Axonize provides IoT back-end service for various segments like smart energy management, smart security, smart homes, and healthcare. It provides features like cross-application business logic, Historical Data Reporting, Machine Learning Algorithm, Device Management, Usage Behavior Monitoring, Subscription Management & Billing, Data Analytics & Business Intelligence, Custom Dashboards, etc. It is hardware agnostic and future-proof.",Israel,Green Building,Buildings & Heat,2015,Nascent,"7,500,000",Series A,Accessibility
Battrion,https://www.battrion.com/,Battrion AG develops and markets innovative fabrication technologies for lithium ion batteries aimed at increasing the charging speed of high energy density cells.,Switzerland,Infr. for e-transport,Circular Economy,2015,Nascent,"120,000",Seed,Mobility
Bayotech,https://www.bayotech.us/,"BayoTech provides solutions for on-site hydrogen production. Its products include BayoTech H2-200 for 200 kg H2/Day, BayoTech H2-500 for 500 kg H2/Day, and BayoTech H2-1000 for 1000 kg H2/Day. It is also developing systems capable of producing 5,000 kg, 10,000 kg and 30,000 kg of hydrogen per day.",USA,Hydrogen Economy,Whole System Resources,2015,Nascent,"16,953,200",Series B,Sustainability
Bbox,https://www.bboxx.com/,Bbox is an operator of distributed energy resource grid. It provides clean electricity and other utility services to the people. It has developed Bboxx Pulse platform which harnesses remote monitoring and internet of things technology to deliver energy access in a scalable and distributed model.,England,Emerging Business Models,Optimising Network Resources,2005,Mature,"50,000,000",Series D,Accessibility
BBP,https://bbp.sg/,Barghest Building Performance (BBP) offers a cloud-based technology coupled with analytics to operate existing equipment at optimal levels and achieve long-term energy savings that are measurable and sustainable. It owns a proprietary real-time algorithm that improves the operation of Central Chiller Plants. The company claims that its energy-efficient HVAC components can reduce energy consumption by up to 35%. The technology is installed without upfront costs to clients and is paid through the energy savings achieved.,Singapore,Green Building,Buildings & Heat,2012,Nascent,"32,764,200",Series B,Accessibility
Best Energy,https://best.energy/,"Best Energy provides solutions for energy management for the building. It provides cloud-based software for energy management. It also manufactures device to harness the power of big data, AI, and IoT. Its platform helps users for energy consumption data, identify energy leaks, and to expose energy abusing resource and equipments.",England,Green Building,Buildings & Heat,2015,Nascent,,Series A,Accessibility
Bidgely,https://www.bidgely.com/,"Bidgely analyzes household energy data consumption patterns to the appliance level without using any plug-level monitors. The company has residential customers on six continents and works with leading utilities around the world. In 2014, Bidgely signed a deal with TXU energy to provide disaggregation analytics to nearly 1.5 million residential customers. It has been recognized as Energy Innovation Pioneer for its role in transforming the energy future at the 2015 IHS Energy CERAWeek. Based in US and India.",USA,Circular Cities,Optimising Network Resources,2011,Mature,"59,600,000",Series C,Accessibility
Birds AI,https://www.birds.ai/,"Birds.ai provides a computer vision-based product quality inspection solution. It detects and classifies objects in aerial imagery and the platform allows businesses to track vegetation, stock, inventory on land. Has use case for manufacturers, solar panels, agriculture, power lines, wind turbines, and other applications.",Netherlands,Predictive Maintainance,Smart Operations,2016,Nascent,,Seed,Stability
Bloom,https://bloombiorenewables.com/,Bloom synthesize bio-renewable polymers using its proprietary mild lignin extraction method. It leverages the aldehyde pretreatment method to separate the polysaccharides fraction & stabilize the lignin polymers in a near-native structure to valorize its price and maintain its economic value.,Switzerland,Circular Cities,Circular Economy,2017,Nascent,"3,453,160",Seed,Accessibility
BluWave,https://www.bluwave-ai.com/,"BluWave-ai is a machine learning based SaaS platform which manages loads and distributed clean energy sources in real-time to maximize the utilization of optimal resources. The software-based solution offered applies artificial intelligence to the big computing problem, providing data on demand predictions, changing electricity consumption and generation patterns on a real-time basis. The portfolio includes two vertical stack products BluWave-ai Edge which runs on AI Model inference on local data, and BluWave-ai Center which runs on machine learning in the private or public cloud ingesting data from Edge. The customers from different industry include power producers , local distribution utility, enterprise, mining, campus, net-zero community, and other off-grid customers.",Canada,Smarter Grid,Optimising Network Resources,2017,Nascent,"3,786,705",Seed,Accessibility
Brainbox,https://www.brainboxai.com/,"BrainBox AI provides solutions for HVAC management. It utilizes self-adapted AI technology to optimize energy consumption. Using deep learning and cloud-based computing, it autonomously optimizes existing Heating, Ventilation, and Air Conditioning (HVAC) control systems.",Canada,Green Building,Buildings & Heat,2017,Nascent,"13,516,000",Series A,Accessibility
Buffalo Grid,https://www.buffalogrid.com/,"Buffalo Grid offers a unique PAYG mobile charging infrastructure for rural areas. Users can use the battery based charging infrastructure to charger their mobile phones and pay using SMS services. The battery unit operators use solar power to charge the battery units and it is further used to charge mobile phones. Apart from mobile phones, the devices also have built in WiFi so that users can connect to the internet and receive important notifications which remove information blindness. Majorly used in off-grid communities or in places where grid penetration is very low.",England,Battery technology,Enabling Consumers,2011,Emerging,"5,520,768",Series A,Mobility
Bulb,https://bulb.co.uk/,"Bulb, the UK based online renewable gas and electricity supplier which competes with the likes of Big 6 utility companies. Bulb, which provides 100% renewable electricity, puts the price drops down to improvements in its technology and processes, as well as lower wholesale energy prices. The company offers one variable tariff and one fixed tariff to simplify the energy supply value chain.",England,Renewable Generation,Enabling Consumers,2014,Nascent,"16,501,900",Series B,Sustainability
C Capture,https://www.c-capture.co.uk/,"C-Capture, a spin-off from the University of Leeds, developed a bottom-up approach to design solvent systems for the removal of CO2 from gas streams. The patented technology captures CO2 from methane gas streams as it passes through and upgrades biogas. Reversibly captures carbon dioxide from power stations, steel and cement production, and fermentation units.",England,CCT,Carbon Management,2008,Emerging,"4,575,650",Series A,Sustainability
C Green,http://c-green.se/,C Green focuses on developing solutions for managing the sludge generated by wastewater treatment facilities. The company has developed a process to convert sludge into bio-coal which can be used a replacement for coal. The process also recovers phosphorus which can be used in fertilizers.,Sweden,Circular Cities,Circular Economy,2015,Nascent,"2,826,755",Series A,Accessibility
C-E-INT,https://www.c-e-int.com/,"Connected Energy provides energy storage system, e-STOR, to companies for managing grid load. The system can store energy from the grid when the grid load is low and electricity is cheaper and supplies power to the site or facility when the electricity is not available on the grid or is available at significantly higher prices. Also, allows facilities to control and tweak the system using control software available with the system.",England,Infr. for e-transport,Whole System Resources,2014,Nascent,"10,700,000",Series A,Mobility
C3,https://c3.ai/,"C3 provides a cloud-based platform to deploy AI and IoT applications. The company offers a data repository that combines data from the enterprise and integrates into a cloud infrastructure for data scientists, application developers, and analysts. Features predictive maintenance, energy management, optimal deployment, CRM, inventory optimisation, anti-money laundering, and fraud detection solutions. Has use case in the areas of aerospace and defense, financial services, manufacturing, oil & gas, telecommunications, transportation, and more. Clients include Baker Hughes, 3M, Engie and more.",USA,Asset & data management,Smart Operations,2009,Mature,"409,965,455",Series G,Stability
Cambrian Innovation,https://cambrianinnovation.com/products/,"US-based Cambrian Innovation has developed distributed wastewater treatment and resource recovery systems. The company's EcoVolt product suite uses bioelectrochemical systems(BES) in which electrically-active microbes oxidizes in contact with electrodes & reduces organic fuels and contaminants in the water. The process generates 30-200 kilowatt power and can treat wastewater flows between 10,000 to 300,000 gallons per day. Provides bioelectrochemical nitrate sensor for surface water monitoring; denitrification system; electricity, hydrogen & methane generation solution for spacecraft. Also offers a financing service called as Water-Energy Purchase Agreement(WEPA) in which the company will construct, install, own, and operate treatment system and the user needs to pay on a per gallon basis.",USA,Circular Cities,Circular Economy,2006,Emerging,"34,882,125",Series B,Sustainability
Canopy Power,https://www.canopypower.com/,"Canopy Power is a microgrid project development company. Services include project development, site survey, system designing, procurement, project financing, and commission inspection. The microgrid network consists of a central controller to manage energy from power generation sources, energy storage systems to store excess power and demand-side management system. Integrates renewable energy sources and electricity grids with low power supply. Has developed a proprietary software platform call Hornbill which allows utilities for remote & real-time monitoring of microgrids, data analysis, predictive maintenance, and reports generation.",Singapore,Emerging Business Models,Enabling Consumers,2016,Nascent,,Series A,Accessibility
Carbon Clean,https://www.carbonclean.com/,"Provider of solutions for carbon capture for industries. Its system capture and deliver industrial quality CO2 for re-use or sequestration. It provides a modular and semi-modular system for carbon capture. It provides solutions for steel, cement, refineries, energy industries.",England,CCT,Carbon Management,2009,Emerging,"22,000,000",Series B,Sustainability
Carbon Cure,https://www.carboncure.com/,"Carbon Cure Technologies has developed a green concrete technology, a technology that enables the creation of a kind of concrete by injecting CO2 into it. Carbon dioxide is captured from big emitters and mixed with cement and other ingredients to produce a stronger and fast setting concrete. The gas is permanently converted into embedded solid mineral carbonates. The technology is also licensed to concrete producers, generating a recurring revenue. Winner of SXSW Eco 2012 i2i Award.",Canada,CCT,Greening Industry,2007,Mature,"88,570,470",Series E,Sustainability
Carbon Engineering,https://carbonengineering.com/,"Carbon Engineering is building technologies to capture CO2 directly from the atmosphere and to use that CO2 in the synthesis of clean transportation fuels that displace crude oil. Carbon Engineerings Direct Air Capture (DAC) system integrates two main cycles - The first cycle is the absorption of CO2 from the atmosphere in a device called an air contactor using an alkaline hydroxide solution. Second cycle regenerates the capture liquid used in the air contactor and delivers pure CO2 as an end product. In 2015, Carbon Engineering started operations of its full end-to-end pilot plant, located in Squamish, B.C. Facility is designed to capture roughly 500 tons of atmospheric CO2 per year. Backed by Bill Gates and  N. Murray Edwards.",England,CCT,Carbon Management,2009,Emerging,"115,000,000",Series B,Sustainability
Carbon Upcycling,https://carbonupcycling.com/,"CUT manufactures CO2 based nanoparticles additives. It manufactures nanoparticles by placing powder feedstocks in the reactor and pressurized with gaseous CO2. Its additives can be used in concrete, plastics, corrosion coatings, consumer products, and others.",Canada,CCT,Carbon Management,2013,Nascent,,Seed,Sustainability
Carbonchain,https://carbonchain.io/,Carbon Chain is a blockchain based solutions for supply chain visibility & traceability. It enables real-time tracking of assets from the point-of-origin to end-customer through Ethereum blockchain based on smart contracts. The cryptographic security keeps data secure from the public blockchain while ensuring the immutability of transactions.,England,CCT,Carbon Management,2017,Nascent,"150,000",Seed,Sustainability
Catalytec,http://catalytec.com/,Catalytec develops organic waste to liquid fuel conversion technology Catalytec CFC Systems. Claims that the equipment are carbon neutral and can intake any type of organic waste and can produce up to 185 gallons per hour of liquid fuel. Claims that the liquid fuel generated can be refined into diesel and home heating fuel. The systems can be prefabricated offsite and can be assembled onsite.,USA,Circular Cities,Circular Economy,2009,Nascent,"705,000",Seed,Accessibility
Cervest,https://cervest.earth/platform/,"Cervest develops and offers AI-powered precision agriculture solutions. It offers a machine learning platform, MCML that monitors, predicts, and simulates crop productivity and performance helping the growers, buyers and policymakers to make climate-smart decisions. It offers Decision Vest, a platform that can simulate crop performance and provides personalised, real-time yield predictions, crop prescriptions, future risk predictions, and other agriculture data for the users supporting in decisions. Also, offers Farm Vest, yield management and prediction tool enabling growers to plan and execute farm operations. Also, offers Codex providing crop-related intelligence and agriculture data for policymakers.",England,Asset & data management,Carbon Management,2016,Nascent,"5,821,110",Seed,Stability
CFS Energy,https://cfs.energy/,Commonwealth Fusion Systems(CFS) is developing a tokamak nuclear fusion reactor. Uses rare earth barium copper oxide(REBCO) in high-field superconducting magnets for the working of compact fusion reactors.,USA,Adjacent Networks,Whole System Resources,2018,Nascent,"263,594,243",Series A,Accessibility
Chakratec,https://chakratec.com/,Chakratec develops a highly efficient energy storage system based on flywheel technology which gives a low cost per charge/discharge cycle. The company offers storage systems ranging from 5 kWh to high end 1 MWh systems for small to medium size applications.,Israel,Infr. for e-transport,Transport,2013,Emerging,"7,600,000",Series C,Mobility
ChargePoint,https://www.chargepoint.com/,"ChargePoint is the operator of a cloud-enabled EV charging station network. It integrates commercial and residential chargers with cloud-enabled services and includes a charging point locator app for drivers with features such as charging monitoring and the location of nearby chargers. It caters to fleets, drivers, apartments, construction and utility sectors, as well as workplaces.",USA,Infr. for e-transport,Transport,2007,Mature,"656,777,535",Acquired,Mobility
Choose,https://chooose.today/business/,"ChoooseCoin is a cryptocurrency backed by CO2 emission permits. The platform tokenizes the carbon cuts and enables companies and people to monetize their CO2 cuts. Users are rewarded for their climate positive efforts. The platform offers carbon neutrality by buying and deleting CO2 emission quotas. Multiple plans are available on the platform based on different carbon cuts. The clients of the company include Designers Remix, Fortum, Telia, Santander, and more.",Norway,CCT,Carbon Management,2017,Nascent,"4,000,000",Seed,Sustainability
City Base,https://thecitybase.com/,"CityBase develops solutions that helps cities in streamlining their operations and hence making governance more efficient and accessible. Some of the modes through which they plan to realize this is advanced payment technology, citizen facing websites and apps, analytics on the data collected. They plan to integrate the various databases used in the city to uncover correlations using data sciences. They plan to provide these application over a cloud SaaS platform so system wide upgrades become easier.",USA,Asset & data management,Enabling Consumers,2011,Mature,"21,110,087",Acquired,Accessibility
