Startup,URL,Super Cluster Number,Super Clusters,Absolute FINAL sub-cluster,Clusters,Service/Product Description,Country,Founded,Funding Stage,Latest Funding Date,Total Funding (USD),Latest Funding (USD),Year Score,Funding Score,Maturity Score,Maturity,Value Chain Grouping,EU,Focus Area,Opportunity Space
Aiera,https://www.aiera.com/,3,Manage Risk,9,Data & Risk Analytics,"Aiera is an event intelligence and insights platform that leverages adaptive deep learning to enhance active fundamental investment strategies. Using advanced linguistics and predictive modeling, Aiera offers investment managers and other professionals the ability to automatically and proactively monitor all public earnings calls and events in real-time, as well as across broker research, media, SEC filings, meeting notes, and more. Aiera was founded in 2016 and is headquartered inNew York, NY, United States.",USA,2017,Series A,2020,10500000,7000000,0.33,0.33,0.33,Nascent,2. SECONDARY,N,,
Akoni,https://akonihub.com/home,2,Access Liquidity,3,"Alt debt, loans & SME financing",Akoni provides cash management services to small businesses. Offers a Deposit Planner Dashboard that enables the businesses to plan and set financial goals. Provides a cash report that predicts how much the company can earn in the current market. Provides business analysis report that shows the performance of the company in the competitive marketplace. The platform has partnered with banks to provide financial products to the users and also allows the comparison of financial products that are offered by other banks in the market. The company uses Fitch Solutions Financial Implied Ratings (FIR) to provide risk-return preferences and governance requirements of different banks.,USA,2015,Seed,2020,-,-,0.66,0,0.33,Nascent,6. OTHER,Y,,
Algomerchant,https://www.algomerchant.com/,3,Manage Risk,9,Data & Risk Analytics,"AlgoMerchant provides AI-enabled trading bots that initiate algo trading. Its features are investment strategies based on computer algorithms, data analytics for finding factors, real-time trading signals, and more. It also offers an app-based platform that is available on IOS & Android devices.",USA,2013,Series A,2017,2910000,2000000,0.66,0.33,0.495,Nascent,2. SECONDARY,N,,
Algomi,https://www.algomi.com/,2,Access Liquidity,6,"FI, FX & Listed Equities","Algomi creates the bond information network that enables all market participants to securely harness data to make valuable financial trading connections. Their product, Algomi Honeycomb suite of scalable software connects salespeople, traders and investors, increases the opportunities and velocity in large and illiquid voice trades between banks, institutional investors, inter-dealer brokers and exchanges. They operate in the buy-side and sell-side trade fixed income securities space, simultaneously preserving the voice trading by empowering sales and trading operations.",England,2012,Acquired,2018,10000000,10000000,0.66,1,0.83,Mature,2. SECONDARY,Y,,
Alkymi,https://alkymi.io/,4,Automate workflows,12,IT & Data Cost Managament,"Alkymi provides enterprise data digitization and analytics solutions. It allows users to collect enterprise unstructured information and process that to structured data, manage capital market firms data, business transactions and risks and capture business documents. It enables users to analyze and provides insights related to credits and loans, to manage contracts and helps to manage assets and build reports. It uses image recognition and natural language processing technologies to understand documents and capture insights.","London, England, United Kingdom",2017,Seed,2017,5000000,5000000,0.33,0,0.165,Nascent,4. CLIENT SERVICING & SUPPORT,N,,
Allocator,https://www.allocator.com/,4,Automate workflows,12,IT & Data Cost Managament,Allocator provides a platform that acts as an information conduit for the investment management industry. The platform gathers and manages fund data which it then standardized and made visible to the investors. The platform is used by over 650 institutional investors with combined AUM of more than $4 trillion.,"Berlin, Berlin, Germany",2012,Seed,2020,-,-,0.66,0,0.33,Nascent,4. CLIENT SERVICING & SUPPORT,Y,,
Alloy,alloy.co,1,Meet Regulatory Requirements,2,Identify the Client (AML/KYC),Alloy is a service for reducing false positives during the KYC process. Alloy's API and dashboard helps financial institutions integrate multiple sources of data and custom CIP rules to both increase the number of customers that can be successfully onboarded without manual review and improve transparency and efficiency into the process.,"Lawrenceville, New Jersey, United States",2015,Series B,2020,55920000,40000000,0.66,0.33,0.495,Nascent,4. CLIENT SERVICING & SUPPORT,N,,
Allvue Systems,https://www.allvuesystems.com/,4,Automate workflows,12,IT & Data Cost Managament,"Allvue is the market leader in software solutions to the Private Capital and Fixed Income markets. Formed by the combination of AltaReturn and Black Mountain, Allvue helps over 400 fund managers, LPs, administrators, banks, and insurance companies with their fund accounting, investor reporting, portfolio management, data aggregation and compliance needs. Available as an integrated end-to-end suite or as independently licensed modules, Allvue helps eliminate the boundaries between systems, information, and people to get the right information to the right people - when they need it. Over $2.5 trillion in capital is managed using the Allvue platform.",Israel,2019,Acquired,2019,-,-,0.33,1,0.665,Emerging,4. CLIENT SERVICING & SUPPORT,N,,
Alpha Theory,https://www.alphatheory.com/home,3,Manage Risk,9,Data & Risk Analytics,"Alpha Theory provides portfolio management platform to portfolio managers and investment advisors. It provides a framework to portfolio managers to use their research to build a repeatable system for efficiently sizing positions in real-time. Its historical analytics is used to analyze optimal and actual returns, better structure analyst compensation, and locate areas for investment process improvement. Also offers portfolio and risk management consulting services.","Atlanta, Georgia, United States",2006,Seed,2016,741000,350000,0.99,0,0.495,Nascent,2. SECONDARY,N,,
AlphaPoint,alphapoint.com,2,Access Liquidity,5,Tokenization and Digital Assets,AlphaPoint enables businesses to integrate with the fabric of digital currencies including Bitcoin.,USA,2013,Corporate Round,2020,23470000,1500000,0.66,0.66,0.66,Emerging,2. SECONDARY,N,,
AlphaSense,http://www.alpha-sense.com/,3,Manage Risk,9,Data & Risk Analytics,"AlphaSense is a revolutionary AI-powered search engine for market intelligence used by financial firms and corporations across industries and geographies. With more than 1,000 enterprise clients, our mission is to enable knowledge professionals to acquire critical business insights and data with speed and conviction. AlphaSense's search technology leverages AI and natural language processing to parse topics, concepts and ideas semantically and uncover the most relevant insights from previously fragmented data sets. Headquartered in New York, AlphaSense currently has more than 240 employees, 70% of which are focused on product development, with offices in Helsinki, London, Mumbai, Pune and across the US.",Germany,2011,Series B,2019,87053805,50000000,0.66,0.33,0.495,Nascent,2. SECONDARY,N,,
Zapflow,http://www.zapflow.com,4,Automate workflows,13,Document Streamlining,"Zapflow is a SaaS-based dealflow management tool for professional investors (VC, CVC, M&A) available 24/7. It helps investors increase the number of incoming investment opportunities, process them efficiently and report the details to various stakeholders.",USA,2015,Seed,2019,1700000,1000000,0.66,0,0.33,Nascent,2. SECONDARY,Y,,
Altfins,https://altfins.com/,3,Manage Risk,9,Data & Risk Analytics,"altFINS offers trading signals and portfolio management solutions for cryptocurrencies. It allows users to access indicators, alerts, and news updates to develop trading strategies. Offers tools for order management, portfolio management, sentimental analysis, and other trading solutions for cryptocurrencies.",USA,2018,Seed,2020,1180000,1180000,0.33,0,0.165,Nascent,2. SECONDARY,N,,
Amun,https://amun.com/,3,Manage Risk,9,Data & Risk Analytics,"Amun provides cryptocurrency investment products. Offers Amun Crypto Basket Index a crypto index exchange-traded product. It seeks to track the investment results of an index composed of top 5 cryptocurrencies ranked by market capitalization. The company offers Amun Bitcoin, a physically backed Bitcoin exchange-traded product and Amun Ethereum ETP, a physically backed Ethereum exchange-traded product. Also offers Amun Ripple XRP, a Ripple exchange-traded product.",USA,2018,Seed,2019,4000000,4000000,0.33,0,0.165,Nascent,2. SECONDARY,Y,,
Anchorage,https://www.anchorage.com,3,Manage Risk,10,Crypto-Custody & Encryption,"Anchorage is the first crypto-native Qualified Custodian for institutional investors, offering a comprehensive platform complete with trading, staking, and governance. Co-founded by security engineers from Square and Docker, Anchorage has raised $57 million in funding from such leading investors as Visa and Andreessen Horowitz, and counts as clients many of cryptoâ€™s largest and best-known funds, including Blockchain Capital, BlockTower, Polychain, and Paradigm. It was founded in 2017 and is headquartered in San Francisco, California.","Lehi, Utah, United States",2017,Series B,2019,57000000,40000000,0.33,0.33,0.33,Nascent,3. POST TRADE,N,,
Yokoy,https://www.yokoy.ai,5,Engage Consumers,15,Banking & Personal Finance,"Yokoy Group provides an AI-based expense and business card management solution. Its features include VAT management, fraud management, audit management, reconciliation, expense management, report management, and more. It also offers a prepaid mastercard that can be integrated into the finance and HR system.",USA,2019,Seed,2020,1800002,1800002,0.33,0,0.165,Nascent,6. OTHER,Y,,
Apiax,http://www.apiax.com,1,Meet Regulatory Requirements,1,Regulatory Compliance,"Apiax is a Swiss RegTech start-up that builds and offers tools that transform complex financial regulations into digital compliance rules, which are constantly up-to-date and verified. The rules are consumable via an App or can be integrated directly into banking processes through an easy-to-use API. Its cutting-edge technology provides legal and compliance teams with full visibility and control over their digital rule sets and empowers client advisors to serve their clients more efficiently and in a fully compliant manner. Apiax was founded in 2017 and is headquartered in ZÃ¼rich, Switzerland.","Tel Aviv, Tel Aviv, Israel",2017,Series A,2020,8110275,8110275,0.33,0.33,0.33,Nascent,4. CLIENT SERVICING & SUPPORT,Y,,
Apptio,http://www.apptio.com,4,Automate workflows,12,IT & Data Cost Managament,"Apptio is the leading provider of cloud-based Technology Business Management (TBM) software that helps CIOs manage the business of IT. Apptio's suite of applications use business analytics to provide facts and insights about technology cost, value, and quality, so IT leaders can make faster, data-driven decisions. The purpose-built applications help companies align technology spend to business outcomes and automate IT processes like cost transparency, benchmarking, showback/chargeback, operational efficiency, and planning.",USA,2007,Acquired,2018,261000000,125000000,0.99,1,0.995,Mature,4. CLIENT SERVICING & SUPPORT,N,,
AQMETRICS,http://www.aqmetrics.com,1,Meet Regulatory Requirements,1,Regulatory Compliance,"AQMETRICS provides integrated capital markets surveillance and compliance solutions to alternative investment management and broker/dealer companies. Through its suite of cloud based solutions, AQMETRICS supports a full range of global regulatory reporting for recent and emerging directives including MAD II, MiFID II and the AIFM Directive. The firm also provides a complete reporting solution that enables risk aggregation and is based on OPERA. AQMETRICS proprietary risk analytics empowers the automation of traditionally resource-intensive and error-prone processes to ensure intuitive, fast, and cost effective electronic compliance risk management, regulatory reporting and document management.",USA,2012,Series A,2018,6665358,3415358,0.66,0.33,0.495,Nascent,4. CLIENT SERVICING & SUPPORT,Y,,
Arkk Solutions,https://www.arkksolutions.com/,1,Meet Regulatory Requirements,1,Regulatory Compliance,"Arkk solutions provides regulatory and statutory reporting solutions, specializing in XBRL and XML for Regulatory filing, COREP and FINREP, AIFMD and Asset Encumbrance. For both Regulatory and Financial Reporting, they ensure accurate electronic returns in XBRL as a part of the monthly reporting cycle. They also help banks comply with BASEL II and CRDIV and UCITS V, MiFID II, FATCA and Form PF filings. The claim to tag and file over 10,000 returns in XBRL every year. Their XBRL software products are based around the Microsoft Office suite.","Antwerp, Antwerpen, Belgium",2009,Series A,2019,6470000,6470000,0.99,0.33,0.66,Emerging,4. CLIENT SERVICING & SUPPORT,Y,,
Artivest,https://artivest.co/,2,Access Liquidity,4,"Unlisted equities, PE & VC","Artivest offers a digital platform for private investment managers and investors. The platform connect a wider audience of suitable investors with investment opportunities in top-quality private equity and hedge funds that are typically available only at institutional minimum investment sizes.  Key Artivest features for qualified investors include more accessible investment minimums, online access to intuitive displays of fund metrics and electronic completion of all legal documentation. Funds utilize Artivest technology to manage investor relations and client operations at scale. FINRA member registered Broker Dealer.","San Francisco, California, United States",2012,Acquired,2012,17000000,15000000,0.66,1,0.83,Mature,2. SECONDARY,N,,
iComply Investor Services Inc.,http://www.icomplyis.com,1,Meet Regulatory Requirements,1,Regulatory Compliance,"iComply provides a compliance management solution for the financial industry. It offers Prefacto which automates compliance requirements for the traditional and decentralized financial markets and iComplyKYC which provides data verification and KYC/AML solutions. Features verification, risk and governance solution.",USA,2017,Seed,2019,2390300,1128202,0.33,0,0.165,Nascent,4. CLIENT SERVICING & SUPPORT,N,,
Gecko Governance,https://geckogovernance.io/,1,Meet Regulatory Requirements,1,Regulatory Compliance,"GECKO Governance is the first solution in the market to provide fund managers with a live oversight of all the funds regulation and compliance requirements - which funds are on schedule and which are behind, which compliance tasks are outstanding and which have been completed. GECKO Governance enables fund managers to schedule all their end to end compliance and regulatory tasks and provides a verifiable independent audit trail of compliance to satisfy global financial regulators requirements. It is the first company in the Funds industry to integrate or use Blockchain technology for the management of fund data with regards to their AML/KYC , Operational Due Diligence (ODD), Fund Launch and On-Boarding. GECKO Governance offers a suite of unique Blockchain integrated products which hugely improves our client's operational efficiency cost effectiveness and compliance security. GECKO Governance is based in New York City, Ireland and Sydney, Australia ïƒ˜ Real Time Compliance View ïƒ˜ Easily Customizable front-end ïƒ˜ One centralised dashboard fund view ïƒ˜ Multi-Client Oversight ïƒ˜ End to end Blockchain compliance task management ïƒ˜ Independent verifiable Blockchain audit trail of fund compliance ïƒ˜ ""Drag & Drop"" regulatory calendar management ïƒ˜ Enables regulators fiduciary requirements ïƒ˜ Wraps around all funds compliance documentation ïƒ˜ Live birds-eye view of fund regulatory status ïƒ˜ Full Version control ïƒ˜ Fully integrated into Google Docs and Microsoft Office 365 ïƒ˜ Completly partitioned user access",Canada,2015,Early Stage Venture,2019,2400000,1400000,0.66,0.66,0.66,Emerging,4. CLIENT SERVICING & SUPPORT,Y,,
Ascent,http://www.ascentregtech.com/,1,Meet Regulatory Requirements,1,Regulatory Compliance,"Ascent provides a cloud-based platform that helps financial services firms to keep their businesses compliant. Its platform analyzes business activities, informs about potential compliance obligations, and assists in tracking and complying with relevant requirements. Ascent's cloud-based solutions include issue tracking and management, industry reference and research materials, and compliance manual documentation..",United States,2015,Acquired,2019,26745000,19300000,0.66,1,0.83,Mature,4. CLIENT SERVICING & SUPPORT,N,,
Asoko Insight,https://asokoinsight.com/,3,Manage Risk,9,Data & Risk Analytics,"Asoko Insights offers data & research insights on private companies. It features quantitative and qualitative data from online sources, research analyst teams, and institutional data partners. Provides private company details such as company name, ownership, base country, sector, address, social profile links, news, among others.","New York, New York, United States",2014,Series A,2019,8800000,-,0.66,0.33,0.495,Nascent,2. SECONDARY,Y,,
Aspiration,aspiration.com,5,Engage Consumers,15,Banking & Personal Finance,"Aspiration offers banking, investing and retirement products that help people improve their own financial situations while making a positive difference in the world.","Frankfurt, Hessen, Germany",2013,Series C,2020,202000000,135000000,0.66,0.66,0.66,Emerging,6. OTHER,N,,
Teamshares,https://www.teamshares.com/,2,Access Liquidity,4,"Unlisted equities, PE & VC","Teamshares is a provider of business purchasing services intended to provide liquidity to small entrepreneurs through buyouts. The company acquires small businesses with fast decision making in initial interviews and deal closing within months after signing LOI, thereby enabling business owners to easily sell their established business at a fair market price and retire peacefully.","London, England, United Kingdom",2019,Seed,2019,2749995,2749995,0.33,0,0.165,Nascent,2. SECONDARY,N,,
Asset Metrix,https://www.asset-metrix.com/,4,Automate workflows,13,Document Streamlining,"AssetMetrix offers back-office solutions for private capital investors, limited partners, and general partners. It provides tools to automate reporting, portfolio analysis, document management, fund administration, data acquisition, and among other middle & back-office processes. Assists users in investing in pension funds, funds of funds, family offices, and insurances.",Singapore,2013,Seed,2019,-,-,0.66,0,0.33,Nascent,4. CLIENT SERVICING & SUPPORT,Y,,
AssetMatch,https://www.assetmatch.com/,2,Access Liquidity,4,"Unlisted equities, PE & VC",Asset Match is the online marketplace to buy and sell shares in UK private companies. Private companies can create liquidity for their shares.Through regular online auctions the provide owners of shares in private businesses a way to exit and give sophisticated investors access to investment opportunities in the untapped private company market.,USA,2011,Seed,2013,465000,465000,0.66,0,0.33,Nascent,2. SECONDARY,Y,,
Aumni Fund,https://www.aumni.fund/,3,Manage Risk,9,Data & Risk Analytics,"Aumni provides portfolio intelligence platform for VC firms and investors. It features solutions for auditing, analyzing, and visualizing the deal document data. It helps in risk identification and fund reporting. It offers reporting and analytics tools for deal metrics, investment auditing, and due diligence.",England,2018,Series A,2020,13700000,10000000,0.33,0.33,0.33,Nascent,2. SECONDARY,N,,
Nivo,https://nivohub.com/,1,Meet Regulatory Requirements,2,Identify the Client (AML/KYC),"Nivo They`ve combined bank standard identity verification with secure instant messaging. Our network offers the convenience of an interface like WhatsApp but where both sides of a conversation can trust the other is who they say they are. You can use the latest technologies to identify customers, and you can share information, images and files effortlessly.",USA,2017,Series A,2019,3115128,2606542,0.33,0.33,0.33,Nascent,4. CLIENT SERVICING & SUPPORT,Y,,
Autologyx,https://www.autologyx.com/,4,Automate workflows,12,IT & Data Cost Managament,"Autologyx provides a cloud-based platform for process automation solutions. It enables customers to automate business processes in the organization from simple repetitive tasks to dynamic & intelligent processes. It provides solutions such as workflow control, smart documents, access control, ready-to-use components, automatic email messaging, web connectors, database connectors, powerful APIs, powerful analytics, branding support, and real-time risk management. It provides solutions for banking & insurance, aerospace, construction, public sector, transport, financial services, automotive, manufacturing, and pharmaceutical. Guidant Group, Capita, Medacs Healthcare, Impellam, and BlueArrow are part of its clientele.","San Mateo, California, United States",2014,Seed,2019,3230000,1260000,0.66,0,0.33,Nascent,4. CLIENT SERVICING & SUPPORT,Y,,
Capshare,https://startup.shareworks.com/,4,Automate workflows,13,Document Streamlining,"Capshare is a web-based cap table management system. It allows users to manage all aspects of their cap table online and provides several innovative features including waterfall analysis, document automation, electronic signature of option documents, convertible debt, valuation, next-round modeling, and advanced import / export capabilities in Excel. It also allows multiple user access including company executives, shareholders, optionees, board members, company counsel, and auditors to access the right information at any time. The system supports option expensing, portfolio valuation and management for investors, and 409A valuation.",USA,2011,Acquired,2017,3280000,280000,0.66,1,0.83,Mature,4. CLIENT SERVICING & SUPPORT,Y,,
Avaamo,https://avaamo.ai/solution-mutual-fund/,4,Automate workflows,12,IT & Data Cost Managament,"Avaamo develops an AI-driven conversation platform that delivers scalability, reliability and security and integration to legacy enterprise workflows and applications. Avaamo chatbots are currently deployed in 40 countries in Financial services, Banking Insurance, telco and healthcare verticals.",England,2015,Series A,2018,23520000,14200000,0.66,0.33,0.495,Nascent,4. CLIENT SERVICING & SUPPORT,N,,
Tradeplus24,http://tradeplus24.ch/index.php/en/,2,Access Liquidity,3,"Alt debt, loans & SME financing",Tradeplus24 is an online business loans platform. Users can get a loan with a payment term of 30-180 days. Tradeplus24 uses the debtor's book as collateral. Also offers credit insurance which protects users against payment defaults of the debtors. Offers credit lines from $500k - $10m.,"Amsterdam, Noord-Holland, The Netherlands",2016,Acquired,2019,3499300,3499300,0.33,1,0.665,Emerging,4. CLIENT SERVICING & SUPPORT,Y,,
Avant,http://www.avant.com,5,Engage Consumers,15,Banking & Personal Finance,"Avant operates an online marketplace that provides users with access to personal loans to consolidate debt, pay unexpected medical expenses, and for family vacations. Through the use of big data and machine-learning algorithms, the company offers a customized approach to streamline credit options. The company caters to consumers in the United States and the United Kingdom. Headquartered in Chicago, Illinois, Avant was founded in November 2012.",United States,2012,Series E,2015,654000000,325000000,0.66,0.66,0.66,Emerging,6. OTHER,N,,
Countingup,https://countingup.com/,4,Automate workflows,13,Document Streamlining,"Countingup provides online accounting solution to startups, freelancers, contractors, and self-employed. The platform offers business banking and accounting solutions to users. Features opening business current accounts, automated bookkeeping, income and expense management, P&L reports etc. It is available for iOS and Android platform with multiple subscription plans.",United States,2017,Seed,2020,3619819,4949502,0.33,0,0.165,Nascent,4. CLIENT SERVICING & SUPPORT,Y,,
